"id";"music";"countplay";"followers";"streams";"popularity";"dance";"energy";"loudness";"speechiness";"acousticness";"liveness";"time";"durationms";"valence"
"1";"Beggin'";8;3377762;48633449;100;0.714;0.8;-4.808;0.0504;0.127;0.359;134.002;211560;0.589
"2";"STAY (with Justin Bieber)";3;2230022;47248719;99;0.591;0.764;-5.484;0.0483;0.0383;0.103;169.928;141806;0.478
"3";"good 4 u";11;6266514;40162559;99;0.563;0.664;-5.044;0.154;0.335;0.0849;166.928;178147;0.688
"4";"Bad Habits";5;83293380;37799456;98;0.808;0.897;-3.712;0.0348;0.0469;0.364;126.026;231041;0.591
"5";"INDUSTRY BABY (feat. Jack Harlow)";1;5473565;33948454;96;0.736;0.704;-7.409;0.0615;0.0203;0.0501;149.995;212000;0.894
"6";"MONTERO (Call Me By Your Name)";18;5473565;30071134;97;0.61;0.508;-6.682;0.152;0.297;0.384;178.818;137876;0.758
"7";"Kiss Me More (feat. SZA)";16;8640063;29356736;94;0.762;0.701;-3.541;0.0286;0.235;0.123;110.968;208867;0.742
"8";"Todo De Ti";10;6080597;26951613;95;0.78;0.718;-3.605;0.0506;0.31;0.0932;127.949;199604;0.342
"9";"Yonaguni";8;36142273;25030128;96;0.644;0.648;-4.601;0.118;0.276;0.135;179.951;206710;0.44
"10";"I WANNA BE YOUR SLAVE";10;3377762;24551591;95;0.75;0.608;-4.008;0.0387;0.00165;0.178;132.507;173347;0.958
"11";"Levitating (feat. DaBaby)";43;27142474;23518010;89;0.702;0.825;-3.787;0.0601;0.00883;0.0674;102.977;203064;0.915
"12";"Qué Más Pues?";9;29051363;22405111;95;0.891;0.819;-3.964;0.106;0.0261;0.173;101.968;217773;0.768
"13";"Permission to Dance";3;37106176;22062812;95;0.702;0.741;-5.33;0.0427;0.00544;0.337;124.925;187585;0.646
"14";"Peaches (feat. Daniel Caesar & Giveon)";19;48504126;20294457;94;0.677;0.696;-6.181;0.119;0.321;0.42;90.03;198082;0.464
"15";"Butter";10;37106176;19985713;95;0.759;0.459;-5.187;0.0948;0.00323;0.0906;109.997;164442;0.695
"16";"traitor";10;6266514;19480679;94;0.38;0.339;-7.885;0.0338;0.691;0.12;100.607;229227;0.0849
"17";"deja vu";17;6266514;18571755;93;0.442;0.612;-7.222;0.112;0.584;0.37;180.917;215507;0.178
"18";"Save Your Tears (with Ariana Grande) (Remix)";14;35305637;18053141;94;0.65;0.825;-4.645;0.0325;0.0215;0.0936;118.091;191014;0.593
"19";"AM Remix";5;2123734;17617965;93;0.743;0.655;-5.015;0.159;0.114;0.0764;172.031;261335;0.785
"20";"Need To Know";7;8640063;16908917;90;0.664;0.609;-6.509;0.0707;0.304;0.0926;130.041;210560;0.194
"21";"Volando - Remix";3;151486;16606925;91;0.659;0.688;-4.649;0.0673;0.207;0.113;153.979;273474;0.632
"22";"Ain't Shit";5;8640063;16126897;90;0.855;0.488;-4.601;0.208;0.506;0.347;124.097;174253;0.619
"23";"drivers license";29;6266514;15684978;92;0.561;0.431;-8.81;0.0578;0.768;0.106;143.875;242013;0.137
"24";"Heat Waves";31;1890510;15089184;85;0.761;0.525;-6.9;0.0944;0.44;0.0921;80.87;238805;0.531
"25";"Blinding Lights";83;35305637;15011809;92;0.514;0.73;-5.934;0.0598;0.00146;0.0897;171.005;200040;0.334
"26";"happier";10;6266514;14849078;92;0.395;0.443;-9.72;0.133;0.765;0.0839;168.924;175933;0.338
"27";"Pepas";3;10502148;14809458;92;0.762;0.766;-3.955;0.0343;0.00776;0.128;130.001;287120;0.442
"28";"Motley Crew";3;33651775;14329162;90;0.797;0.631;-3.818;0.0786;0.0904;0.0998;129.915;184213;0.288
"29";"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit";23;83689;14273637;92;0.824;0.862;-3.424;0.126;0.0076;0.303;122.98;169153;0.801
"30";"Astronaut In The Ocean";28;365975;14174752;89;0.778;0.695;-6.865;0.0913;0.175;0.15;149.996;132780;0.472
"31";"Leave The Door Open";21;32574754;13963568;92;0.586;0.616;-7.964;0.0324;0.182;0.0927;148.088;242096;0.719
"32";"Don't Go Yet";1;22683756;13205250;88;0.666;0.796;-6.967;0.103;0.0492;0.0442;110.108;164842;0.61
"33";"favorite crime";10;6266514;12818935;91;0.369;0.272;-10.497;0.0364;0.866;0.147;172.929;152667;0.218
"34";"Pareja Del Año";15;16216789;12572307;91;0.715;0.622;-5.102;0.046;0.163;0.0948;80.015;195053;0.808
"35";"Watermelon Sugar";83;16112621;11996689;90;0.548;0.816;-4.209;0.0465;0.122;0.335;95.39;174000;0.557
"36";"NOT SOBER (feat. Polo G & Stunna Gambino)";1;NA;11869336;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"37";"RAPSTAR";16;4840346;11683383;89;0.789;0.536;-6.862;0.242;0.41;0.129;81.039;165926;0.437
"38";"You Right";5;8640063;11629418;89;0.828;0.621;-6.414;0.0565;0.0164;0.0845;128.986;186173;0.436
"39";"911 - Remix";3;8758283;11553846;89;0.816;0.71;-3.728;0.0398;0.165;0.292;93.02;208631;0.784
"40";"DÁKITI";39;36142273;11524288;86;0.731;0.573;-10.059;0.0544;0.401;0.113;109.928;205090;0.145
"41";"Miénteme";13;2936204;11477024;90;0.85;0.541;-4.522;0.0674;0.161;0.286;92.003;165275;0.916
"42";"jealousy. jealousy";10;6266514;11287301;90;0.695;0.575;-6.334;0.116;0.198;0.0614;163.929;173160;0.699
"43";"Poblado - Remix";6;29051363;11283626;89;0.813;0.809;-5.382;0.0846;0.102;0.377;93.005;393280;0.646
"44";"Dynamite";49;37106176;11196819;89;0.746;0.765;-4.41;0.0993;0.0112;0.0936;114.044;199054;0.737
"45";"The Business";39;5785065;10739770;90;0.798;0.62;-7.079;0.232;0.414;0.112;120.031;164000;0.235
"46";"Heartbreak Anthem (with David Guetta & Little Mix)";10;3120157;10315460;89;0.595;0.784;-4.878;0.102;0.216;0.0608;124.111;183726;0.479
"47";"Mood (feat. iann dior)";51;1274433;10222056;89;0.701;0.716;-3.671;0.0361;0.174;0.324;91.007;140533;0.732
"48";"Entre Nosotros";3;375865;10215216;89;0.729;0.513;-6.345;0.0455;0.494;0.137;170.064;192353;0.789
"49";"Fiel - Remix";6;6929075;10032746;89;0.839;0.711;-4.733;0.0473;0.398;0.118;97.99;349547;0.573
"50";"Build a Bitch";11;389076;9841998;89;0.855;0.463;-7.454;0.0367;0.217;0.347;102.931;122773;0.866
"51";"Nicky Jam: Bzrp Music Sessions. Vol. 41";4;3126961;9799701;88;0.627;0.849;-3.167;0.153;0.0913;0.145;89.907;158087;0.818
"52";"Tiroteo - Remix";4;45362;9781153;88;0.75;0.522;-7.018;0.0293;0.282;0.0743;110.427;321556;0.601
"53";"NDA";3;47014200;9635619;84;0.765;0.373;-9.921;0.0713;0.341;0.112;85.016;195777;0.554
"54";"Rasputin";14;32178;9600707;49;0.83;0.839;-6.985;0.0699;0.00201;0.0353;128.012;345543;0.59
"55";"Leave Before You Love Me (with Jonas Brothers)";9;31541310;9428494;89;0.721;0.738;-4.77;0.0403;0.00226;0.118;119.976;154983;0.637
"56";"Freaks";13;495226;9319465;89;0.345;0.941;-9.918;0.0466;3.84e-05;0.0511;179.626;147062;0.407
"57";"Meu Pedaço de Pecado";5;409173;9206366;83;0.668;0.887;-4.404;0.0564;0.369;0.257;151.92;157176;0.907
"58";"2/Catorce";12;6080597;9086979;87;0.54;0.455;-5.988;0.224;0.675;0.12;83.876;212032;0.432
"59";"Beautiful Mistakes (feat. Megan Thee Stallion)";21;32262679;9048966;88;0.713;0.676;-5.483;0.027;0.0377;0.154;99.048;227395;0.721
"60";"Run";15;12169108;9017356;88;0.682;0.72;-8.173;0.0381;0.326;0.148;117.003;169011;0.673
"61";"Thot Shit";7;4787261;8977336;88;0.95;0.693;-3.424;0.0898;0.0133;0.173;130.02;184635;0.891
"62";"Your Love (9PM)";26;291777;8935418;88;0.669;0.784;-5.603;0.112;0.194;0.115;125.993;150053;0.517
"63";"brutal";10;6266514;8881356;89;0.672;0.526;-6.446;0.0599;0.0311;0.28;123.999;143747;0.28
"64";"Save Your Tears";34;35305637;8843110;94;0.65;0.825;-4.645;0.0325;0.0215;0.0936;118.091;191014;0.593
"65";"Heartbreak Anniversary";24;1398563;8832945;87;0.449;0.465;-8.964;0.0791;0.524;0.303;89.087;198371;0.543
"66";"Don't Start Now";83;1250353;8821971;0;0.793;0.793;-4.521;0.083;0.0123;0.0951;123.95;183290;0.679
"67";"Dinero";7;116817;8564775;87;0.708;0.782;-4.687;0.0674;0.00772;0.107;119.997;160880;0.484
"68";"Sweater Weather";48;6662605;8564017;87;0.612;0.807;-2.81;0.0336;0.0495;0.101;124.053;240400;0.398
"69";"Sobrio";3;26769304;8514480;87;0.762;0.77;-2.758;0.223;0.138;0.15;177.998;201181;0.631
"70";"Someone You Loved";83;8384096;8490162;86;0.501;0.405;-5.679;0.0319;0.751;0.105;109.891;182161;0.446
"71";"Over The Top (feat. Drake)";1;26131;8269753;83;0.833;0.498;-5.196;0.117;0.0493;0.119;139.928;153406;0.259
"72";"2055";2;408696;8133401;85;0.829;0.512;-5.865;0.187;0.492;0.12;80.511;123987;0.638
"73";"EL MAKINON";18;17775316;8102107;87;0.635;0.706;-3.224;0.125;0.256;0.108;88.863;209160;0.443
"74";"Loco";8;2895789;8093413;87;0.77;0.899;-2.981;0.0494;0.222;0.0894;128.05;231604;0.851
"75";"Love Tonight - Edit";4;27116;8006336;87;0.727;0.681;-7.114;0.0265;0.00214;0.0861;123.028;241970;0.448
"76";"ZITTI E BUONI";11;3377762;7975148;86;0.625;0.939;-3.115;0.0669;0.00138;0.424;102.999;194787;0.644
"77";"telepatía";23;1999954;7912399;88;0.653;0.524;-9.016;0.0502;0.112;0.203;83.97;160191;0.553
"78";"Botella Tras Botella";14;2043294;7735223;87;0.727;0.546;-4.572;0.0437;0.656;0.122;106.891;197333;0.69
"79";"Fiel";24;31488;7717211;88;0.849;0.701;-4.407;0.06;0.407;0.112;98.005;261667;0.505
"80";"Dance Monkey";83;2819593;7687058;83;0.824;0.588;-6.4;0.0924;0.692;0.149;98.027;209438;0.513
"81";"WITHOUT YOU";34;2230022;7642130;87;0.662;0.413;-7.357;0.0299;0.213;0.134;93.005;161385;0.467
"82";"Wants and Needs (feat. Lil Baby)";21;56308172;7637626;87;0.578;0.449;-6.349;0.286;0.0618;0.119;136.006;192956;0.1
"83";"Bezos I";2;1042079;7516291;84;0.694;0.948;-5.307;0.0361;0.00936;0.139;115.044;58149;0.705
"84";"Love Again";3;1250353;7465445;0;0.659;0.667;-4.668;0.0339;0.00173;0.1;115.982;258004;0.468
"85";"Goosebumps - Remix";28;17719446;7452633;87;0.841;0.593;-7.846;0.0379;0.418;0.124;124.917;162803;0.808
"86";"Head & Heart (feat. MNEK)";55;207547;7434252;87;0.734;0.874;-3.158;0.0662;0.168;0.0489;122.953;166028;0.905
"87";"BED";20;207547;7383369;87;0.671;0.782;-4.593;0.0341;0.0142;0.333;123.989;178088;0.618
"88";"Iko Iko (My Bestie)";8;18228;7381585;87;0.862;0.753;-5.356;0.0625;0.131;0.077;105.039;182857;0.827
"89";"Better Believe";1;203972;7365053;80;0.797;0.573;-7.85;0.319;0.159;0.144;124.995;206629;0.445
"90";"Arcade";25;287361;7353795;84;0.45;0.329;-12.603;0.0441;0.818;0.135;71.884;183624;0.266
"91";"512";13;151486;7336542;87;0.818;0.673;-7.542;0.148;0.348;0.172;87.961;193636;0.695
"92";"positions";40;67158068;7244853;86;0.737;0.802;-4.771;0.0878;0.468;0.0931;144.015;172325;0.682
"93";"Circles";84;33651775;7156162;87;0.695;0.762;-3.497;0.0395;0.192;0.0863;120.042;215280;0.553
"94";"Blaues Licht";1;1329531;7084292;78;0.819;0.835;-4.899;0.102;0.398;0.252;144.955;144264;0.703
"95";"Ram Pam Pam";10;6341942;7064003;86;0.908;0.813;-2.749;0.0777;0.305;0.278;97.018;200785;0.924
"96";"In Da Getto";4;1250353;6984262;2;0.915;0.72;-3.126;0.0459;0.025;0.0942;126.986;131067;0.631
"97";"Woman";3;8640063;6858466;86;0.824;0.764;-4.175;0.0854;0.0888;0.117;107.998;172627;0.881
"98";"t r a n s p a r e n t s o u l feat. Travis Barker";8;1521837;6853994;85;0.39;0.83;-5.201;0.0563;0.0021;0.156;90.021;168030;0.191
"99";"Clash (feat. Stormzy)";2;1427540;6825463;79;0.871;0.519;-6.549;0.258;0.313;0.0869;140.013;251733;0.532
"100";"Before You Go";83;8384096;6813800;83;0.459;0.575;-4.858;0.0573;0.604;0.0885;111.881;215107;0.183
"101";"Levitating";19;27142474;6799831;89;0.702;0.825;-3.787;0.0601;0.00883;0.0674;102.977;203064;0.915
"102";"Reckless";5;3363988;6711375;86;0.386;0.426;-6.642;0.0363;0.807;0.14;180.104;203385;0.261
"103";"No Me Conocen (Remix) [con DUKI. Rei & Tiago PZK]";5;16074;6709106;85;0.769;0.812;-2.088;0.0825;0.281;0.0781;180.003;280274;0.926
"104";"Believer";83;35285425;6699895;86;0.776;0.78;-4.374;0.128;0.0622;0.081;124.949;204347;0.666
"105";"Lemonade (feat. Gunna. Don Toliver & NAV)";48;411579;6697067;82;0.799;0.66;-6.153;0.079;0.256;0.111;140.04;195429;0.471
"106";"Talking to the Moon";19;32574754;6660319;83;0.523;0.606;-4.754;0.0301;0.512;0.106;145.837;217867;0.065
"107";"Roses - Imanbek Remix";83;742692;6653690;72;0.769;0.719;-5.472;0.0474;0.0143;0.359;121.955;176867;0.863
"108";"Sal y Perrea";11;8758283;6635076;86;0.786;0.899;-0.515;0.127;0.192;0.299;90.025;216510;0.813
"109";"Fulanito";3;10356559;6614072;86;0.93;0.837;-4.632;0.187;0.256;0.239;111.898;158532;0.821
"110";"París";1;56699;6584896;86;0.57;0.455;-5.748;0.0996;0.441;0.0654;167.933;151429;0.399
"111";"lovely (with Khalid)";83;47014200;6569547;86;0.351;0.296;-10.109;0.0333;0.934;0.095;115.284;200186;0.12
"112";"Sunflower - Spider-Man: Into the Spider-Verse";83;1250353;6546948;82;0.76;0.479;-5.574;0.0466;0.556;0.0703;89.911;158040;0.913
"113";"double take";3;73211;6539852;86;0.663;0.434;-11.177;0.0648;0.828;0.249;109.075;171743;0.225
"114";"Streets";29;8640063;6502302;86;0.749;0.463;-8.433;0.0842;0.21;0.338;90.035;226987;0.189
"115";"By Your Side (feat. Tom Grennan)";8;21942793;6488622;85;0.733;0.96;-3.597;0.0295;0.0514;0.287;124.01;189672;0.811
"116";"MORENA";3;5420471;6469500;85;0.526;0.731;-4.662;0.0887;0.18;0.0891;86.959;193221;0.476
"117";"Shape of You";80;83293380;6452492;85;0.825;0.652;-3.183;0.0802;0.581;0.0931;95.977;233713;0.931
"118";"Señorita";83;33879560;6317487;82;0.759;0.54;-6.039;0.0287;0.037;0.0945;116.947;190960;0.75
"119";"Hold On";21;1250353;6300416;0;0.658;0.634;-5.797;0.0413;0.0106;0.132;139.98;170813;0.29
"120";"Perfect";83;83293380;6278765;86;0.599;0.448;-6.312;0.0232;0.163;0.106;95.05;263400;0.168
"121";"2:50 Remix";5;282045;6244011;85;0.818;0.812;-4.425;0.0475;0.112;0.234;139.966;231708;0.844
"122";"LA NOCHE DE ANOCHE";35;36142273;6242863;86;0.856;0.618;-4.892;0.286;0.0303;0.0866;81.993;203201;0.391
"123";"ROCKSTAR (feat. Roddy Ricch)";67;7593046;6180056;86;0.746;0.69;-7.956;0.164;0.247;0.101;89.977;181733;0.497
"124";"Heather";53;3794081;6164795;86;0.357;0.425;-7.301;0.0333;0.584;0.322;102.078;198040;0.27
"125";"you broke me first";55;1647262;6152121;86;0.667;0.373;-9.389;0.05;0.785;0.0906;124.148;169266;0.0823
"126";"The Nights";18;20270895;6136340;85;0.527;0.835;-5.298;0.0433;0.0166;0.249;125.983;176658;0.654
"127";"Riptide";37;2421254;6089242;78;0.484;0.731;-6.694;0.0379;0.431;0.151;101.654;204280;0.51
"128";"Smells Like Teen Spirit";30;13261089;6065267;77;0.502;0.912;-4.556;0.0564;2.55e-05;0.106;116.761;301920;0.72
"129";"enough for you";10;6266514;6040918;86;0.638;0.259;-10.706;0.0898;0.753;0.219;88.485;202827;0.269
"130";"Daddy Issues";42;6662605;6014443;85;0.588;0.521;-9.461;0.0329;0.0678;0.123;85.012;260173;0.337
"131";"Aquelas Coisas";3;409173;6012839;84;0.682;0.873;-4.163;0.0449;0.402;0.0946;150.006;147072;0.964
"132";"Miss The Rage (feat. Playboi Carti)";12;6430522;5952490;85;0.584;0.859;-5.616;0.121;0.0144;0.847;77.005;236883;0.369
"133";"Memories";83;32262679;5928329;85;0.775;0.327;-7.241;0.0557;0.841;0.0821;91.05;189486;0.595
"134";"Another Love";16;1838616;5914661;67;0.445;0.537;-8.532;0.04;0.695;0.0941;122.764;244360;0.131
"135";"Here's Your Perfect";4;64288;5912784;85;0.558;0.454;-5.335;0.0551;0.499;0.146;113.12;158594;0.424
"136";"Take Me To Church";37;4781906;5907750;74;0.566;0.664;-5.303;0.0464;0.634;0.116;128.945;241693;0.437
"137";"Little Bit of Love";13;261225;5848466;80;0.689;0.706;-4.48;0.0312;0.0833;0.105;106.52;226268;0.623
"138";"Ficha Limpa";4;12969190;5847975;85;0.774;0.732;-4.227;0.0308;0.108;0.243;135.005;192725;0.734
"139";"Up";25;17353707;5845156;83;0.868;0.795;-6.044;0.269;0.0012;0.0461;166;156945;0.819
"140";"Hawái";52;26769304;5769714;77;0.766;0.788;-3.128;0.312;0.105;0.142;179.984;200482;0.609
"141";"New Normal";1;14187747;5768653;79;0.39;0.534;-9.575;0.0709;0.0807;0.184;92.047;198765;0.244
"142";"Bohemian Rhapsody - Remastered 2011";81;35888760;5756583;74;0.392;0.402;-9.961;0.0536;0.288;0.243;143.883;354320;0.228
"143";"Bandido";32;6150675;5734402;85;0.713;0.617;-4.637;0.0887;0.122;0.0962;168.021;232853;0.682
"144";"Paradise (feat. Dermot Kennedy)";39;441674;5693848;85;0.632;0.595;-7.644;0.0401;0.0689;0.209;124.114;167903;0.435
"145";"goosebumps";83;17719446;5691540;87;0.841;0.593;-7.846;0.0379;0.418;0.124;124.917;162803;0.808
"146";"Wasted Love (feat. Lagique)";18;432581;5690260;85;0.734;0.855;-4.578;0.135;0.0821;0.0901;121.955;139563;0.54
"147";"KESI - Remix";2;10561047;5682062;83;0.871;0.815;-4.439;0.0477;0.127;0.094;122.959;176575;0.823
"148";"Shallow";83;18572085;5672480;83;0.572;0.385;-6.362;0.0308;0.371;0.231;95.799;215733;0.323
"149";"Tell Em";9;159647;5668576;85;0.672;0.717;-7.476;0.226;0.103;0.398;157.905;180380;0.473
"150";"Não. Não Vou";5;15889;5652272;84;0.631;0.861;-1.891;0.0424;0.427;0.215;149.95;173038;0.822
"151";"Counting Stars";24;12169108;5647568;74;0.664;0.705;-4.972;0.0382;0.0654;0.115;122.017;257840;0.477
"152";"Yellow";32;31151294;5628703;85;0.429;0.661;-7.227;0.0281;0.00239;0.234;173.372;266773;0.285
"153";"Como Si No Importara";1;205590;5627257;83;0.843;0.534;-6.658;0.142;0.467;0.0984;94.984;173053;0.528
"154";"Se For Amor";1;409173;5618268;81;0.667;0.899;-4.402;0.0322;0.423;0.332;147.962;239928;0.835
"155";"Wake Me Up";23;20270895;5607285;84;0.532;0.783;-5.697;0.0523;0.0038;0.161;124.08;247427;0.643
"156";"Baby Me Atende";7;77034;5594505;83;0.65;0.792;-3.825;0.0393;0.607;0.92;154.027;225672;0.872
"157";"Ramenez la coupe à la maison";6;1250353;5576844;0;0.808;0.66;-6.237;0.0395;0.0358;0.138;107.994;235556;0.804
"158";"What You Know Bout Love";47;6837946;5570735;85;0.709;0.548;-8.493;0.353;0.65;0.133;83.995;160000;0.543
"159";"Runaway";18;1687399;5566150;77;0.521;0.277;-10.34;0.0356;0.634;0.103;115.01;248827;0.13
"160";"Red Light Green Light";5;7593046;5493760;84;0.933;0.656;-5.85;0.322;0.129;0.161;119.987;159083;0.934
"161";"Ball If I Want To";5;7593046;5478055;84;0.902;0.669;-5.049;0.457;0.161;0.0728;139.949;112547;0.628
"162";"Lucid Dreams";83;19085118;5477563;85;0.511;0.566;-7.23;0.2;0.349;0.34;83.903;239836;0.218
"163";"Calling My Phone";24;3553442;5467753;85;0.907;0.393;-7.636;0.0539;0.451;0.135;104.949;205458;0.202
"164";"34+35";39;NA;5453159;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"165";"bad guy";83;1250353;5436286;0;0.701;0.425;-10.965;0.375;0.328;0.1;135.128;194088;0.562
"166";"Cover Me In Sunshine";18;11477164;5434073;83;0.476;0.594;-6.879;0.135;0.0599;0.0785;159.702;141050;0.314
"167";"For The Night (feat. Lil Baby & DaBaby)";56;6837946;5431375;84;0.823;0.586;-6.606;0.2;0.114;0.193;125.971;190476;0.347
"168";"1 step forward. 3 steps back";10;6266514;5420003;85;0.473;0.203;-12.627;0.102;0.941;0.126;168.884;163587;0.419
"169";"WAP (feat. Megan Thee Stallion)";51;17353707;5386268;84;0.935;0.454;-7.509;0.375;0.0194;0.0824;133.073;187541;0.357
"170";"Mr. Brightside";22;6118063;5382191;75;0.356;0.924;-3.74;0.0808;0.00101;0.0953;148.017;222587;0.232
"171";"Every Breath You Take";27;4339245;5379704;83;0.82;0.452;-9.796;0.0348;0.543;0.0714;117.401;253920;0.74
"172";"Dreams - 2004 Remaster";44;6930669;5378971;84;0.828;0.492;-9.744;0.0276;0.0644;0.128;120.151;257800;0.789
"173";"Say You Won't Let Go";82;8441598;5375426;84;0.358;0.557;-7.398;0.059;0.695;0.0902;85.043;211467;0.494
"174";"Wild Side (feat. Cardi B)";2;1304510;5366242;75;0.74;0.576;-6.744;0.146;0.0249;0.104;110.095;209476;0.315
"175";"Bout A Million (feat. 42 Dugg & 21 Savage)";2;6837946;5315734;81;0.716;0.67;-6.995;0.101;0.526;0.13;145.043;203586;0.411
"176";"Demeanor (feat. Dua Lipa)";2;6837946;5245618;81;0.675;0.608;-6.934;0.103;0.336;0.11;99.865;184800;0.728
"177";"death bed (coffee for your head)";76;924083;5238547;85;0.726;0.431;-8.765;0.135;0.731;0.696;144.026;173333;0.348
"178";"Our Song";9;8148393;5235335;83;0.595;0.759;-4.245;0.0423;0.141;0.172;80.953;163733;0.515
"179";"Another One Bites The Dust - Remastered 2011";22;35888760;5204983;74;0.933;0.528;-6.472;0.162;0.112;0.163;109.975;214653;0.756
"180";"One Dance";14;56308172;5178490;84;0.792;0.625;-5.609;0.0536;0.00776;0.329;103.967;173987;0.37
"181";"Adore You";83;16112621;5166847;84;0.676;0.771;-3.675;0.0483;0.0237;0.102;99.048;207133;0.569
"182";"As the World Caves In";4;180723;5145493;71;0.422;0.25;-6.836;0.0351;0.441;0.35;124.026;161613;0.246
"183";"Fancy Like";1;304995;5145432;83;0.649;0.76;-6.487;0.0574;0.114;0.317;80.018;161853;0.843
"184";"Cúrame";1;6080597;5104206;85;0.765;0.625;-3.599;0.0548;0.584;0.112;102.101;164706;0.262
"185";"All of Me";78;5799137;5103014;84;0.422;0.264;-7.064;0.0322;0.922;0.132;119.93;269560;0.331
"186";"Martin & Gina";41;4840346;5098609;85;0.832;0.534;-7.813;0.253;0.345;0.165;93.924;132833;0.116
"187";"Dior";65;6837946;5092354;83;0.548;0.805;-5.732;0.351;0.212;0.408;142.094;216387;0.648
"188";"Best Friend (feat. Doja Cat)";29;1254432;5090062;83;0.84;0.766;-4.12;0.136;0.00302;0.0684;94.018;155884;0.402
"189";"The Hills";22;35305637;5068864;84;0.585;0.564;-7.063;0.0515;0.0671;0.135;113.003;242253;0.137
"190";"Good Days";31;5881963;5065132;84;0.436;0.655;-8.37;0.0583;0.499;0.688;121.002;279204;0.412
"191";"Kiss My (Uh Oh)";1;8148393;5063181;78;0.638;0.878;-3.639;0.0484;0.0151;0.308;103.948;176800;0.481
"192";"De Museo";3;36142273;5016125;83;0.592;0.494;-10.618;0.0747;0.237;0.13;132.037;209771;0.231
"193";"7 rings";81;67158068;5002227;85;0.778;0.317;-10.732;0.334;0.592;0.0881;140.048;178627;0.327
"194";"Chosen (feat. Ty Dolla $ign)";1;167628;4992405;84;0.571;0.767;-5.16;0.287;0.336;0.0809;93.421;161684;0.605
"195";"Não Nasceu pra Namorar";5;130627;4978559;84;0.525;0.448;-4.075;0.0443;0.14;0.0922;83.406;140308;0.527
"196";"Breaking Me";71;151832;4977498;84;0.789;0.72;-5.652;0.218;0.223;0.129;122.031;166794;0.664
"197";"penhasco.";1;1909059;4973937;80;0.43;0.467;-8.56;0.051;0.775;0.0933;77.249;186121;0.382
"198";"Late At Night";8;6603627;4954899;84;0.643;0.403;-11.254;0.41;0.343;0.138;98.54;174682;0.111
"199";"Verdansk";1;1427540;4950275;77;0.961;0.502;-8.605;0.312;0.28;0.145;117.078;182285;0.536
"200";"The Real Slim Shady";12;46785561;4948965;84;0.949;0.661;-4.244;0.0572;0.0302;0.0454;104.504;284200;0.76
"201";"Tell The Vision (feat. Kanye West & Pusha T)";1;6837946;8859168;57;0.662;0.686;-8.302;0.332;0.251;0.349;143.971;215000;0.678
"202";"Woo Baby (feat. Chris Brown)";1;6837946;7371935;56;0.563;0.672;-7.226;0.0765;0.359;0.0972;99.772;156000;0.284
"203";"Holy Smokes";1;6430522;6464206;79;0.437;0.527;-6.967;0.465;0.185;0.153;187.815;181714;0.701
"204";"More Time";1;6837946;6238351;55;0.628;0.581;-8.377;0.188;0.46;0.152;145.396;120828;0.259
"205";"Coupe";1;6837946;6161664;54;0.912;0.589;-7.476;0.2;0.0332;0.0795;135.921;123549;0.486
"206";"Holiday";4;2008516;5883145;81;0.356;0.684;-7.347;0.0878;0.152;0.101;87.188;193733;0.347
"207";"Manslaughter (feat. Rick Ross & The-Dream)";1;6837946;5822266;55;0.441;0.623;-7.331;0.0414;0.135;0.14;78.082;249231;0.285
"208";"Genius (feat. Lil Tjay & Swae Lee)";1;6837946;5702636;53;0.723;0.667;-7.524;0.351;0.256;0.261;143.044;208112;0.396
"209";"WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign)";4;6777818;5696113;84;0.493;0.653;-5.666;0.0466;0.269;0.511;142.347;121573;0.852
"210";"Sommergewitter";4;208554;5627519;84;0.787;0.531;-10.569;0.101;0.132;0.112;91.996;138533;0.721
"211";"Body (Remix) [feat. ArrDee. E1 (3x3). ZT (3x3). Bugzy Malone. Buni. Fivio Foreign & Darkoo]";12;323203;5383125;84;0.883;0.674;-8.043;0.357;0.21;0.0678;141.02;278085;0.73
"212";"Brush Em (feat. Rah Swish)";1;6837946;5335271;54;0.654;0.724;-6.59;0.355;0.106;0.655;71.696;150449;0.717
"213";"AM";15;2123734;5288927;85;0.83;0.517;-6.416;0.333;0.399;0.0916;171.959;182496;0.616
"214";"MI FAI IMPAZZIRE";4;127364;5242097;83;0.477;0.844;-4.87;0.0458;0.00273;0.137;169.941;220235;0.203
"215";"Ride It";82;152226;5235088;84;0.88;0.751;-4.258;0.0874;0.177;0.106;117.948;157606;0.884
"216";"Lost Cause";7;1250353;5203319;0;0.671;0.336;-8.494;0.241;0.705;0.0577;75.051;212496;0.518
"217";"Shot in the Dark";1;5178156;5173308;76;0.741;0.556;-9.184;0.0266;0.0629;0.103;122.008;249080;0.587
"218";"Wrecked";3;35285425;5150909;83;0.626;0.56;-5.82;0.0288;0.148;0.109;93.989;244005;0.229
"219";"Bipolar";11;2586114;5116589;84;0.601;0.36;-7.791;0.0877;0.586;0.0882;124.993;276480;0.335
"220";"His & Hers (feat. Don Toliver. Lil Uzi Vert & Gunna)";5;411579;5110475;84;0.792;0.707;-5.218;0.0623;0.116;0.12;134.997;224042;0.408
